counter,mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135
71,388,388,389,387,386,381,380,377,378
72,387,386,385,383,379,378,379,378,379
73,386,385,383,380,373,372,374,373,377
74,388,388,389,387,386,381,379,377,378
75,388,387,386,383,380,379,380,378,380
76,386,385,383,379,372,371,373,373,377
77,387,387,389,387,386,381,379,376,378
78,387,387,387,385,382,381,382,380,380
79,387,386,383,380,373,372,374,374,378
80,388,388,389,388,387,381,379,377,378
81,388,387,387,386,384,382,382,380,381
82,387,386,383,380,373,373,375,375,379
83,388,388,389,387,385,380,379,376,378
84,388,387,388,386,384,381,381,379,380
85,387,386,383,380,373,373,375,374,378
86,387,388,388,386,385,380,378,376,378
87,387,387,387,385,384,381,381,379,380
88,387,386,383,379,373,372,374,374,378
89,387,387,388,386,384,379,378,375,377
90,387,387,388,386,385,382,382,379,380
91,387,386,383,380,374,373,375,375,378
92,387,387,387,385,383,378,377,375,378
93,388,388,389,387,386,383,382,379,380
94,387,386,383,380,374,374,376,375,379
95,388,388,388,385,383,378,377,376,378
96,389,389,391,389,389,385,384,381,381
97,390,389,389,387,383,383,384,382,382
98,392,392,393,392,391,386,385,383,383
99,393,393,395,393,394,390,389,386,385
100,391,389,387,383,377,377,380,380,383
101,390,390,389,386,382,377,377,376,380
102,389,389,390,388,387,382,381,379,380
103,387,386,383,380,373,373,375,374,378
104,386,386,385,383,379,375,375,373,376
105,387,387,388,386,386,381,380,378,379
106,385,384,381,378,372,372,374,374,377
107,385,385,384,381,377,374,373,372,376
108,386,386,387,385,384,379,378,376,377
109,385,384,381,377,371,371,373,373,376
110,384,384,383,380,376,372,372,371,375
111,385,385,387,385,384,380,379,376,377
112,384,383,380,377,371,371,373,373,376
113,384,384,383,380,375,372,372,371,375
114,385,385,387,385,384,379,378,375,376
115,384,383,381,378,372,372,374,373,376
116,385,384,383,380,376,373,373,372,375
117,386,386,388,386,386,381,379,377,377
118,385,384,382,379,373,373,375,375,377
119,385,385,383,380,375,372,373,372,376
120,386,386,388,386,386,381,379,377,378
121,386,385,383,380,375,375,376,376,378
122,386,385,383,380,375,372,373,372,376
123,386,386,386,384,383,378,377,375,376
124,385,384,382,380,375,374,376,375,377
125,386,386,385,382,379,377,377,375,378
126,390,390,392,392,394,390,388,385,383
127,389,387,385,381,375,376,378,378,381
128,388,387,385,382,376,373,374,374,378
129,389,389,391,390,390,385,383,380,380
130,389,388,388,386,383,383,384,383,383
131,391,391,390,388,386,385,386,384,384
132,398,398,402,403,409,405,402,397,392
133,421,423,438,449,478,482,473,458,430
134,433,428,436,443,465,476,474,465,442
135,431,425,429,430,441,449,448,443,430
136,432,426,422,418,420,423,427,429,429
137,430,424,413,401,389,386,392,400,418
138,408,403,380,356,316,303,314,333,377
139,395,404,407,403,387,373,366,360,370
140,373,377,377,377,362,358,358,355,359
141,369,371,372,373,368,363,362,359,360
142,370,370,368,366,360,359,361,360,363
143,371,370,367,364,355,353,355,356,361
144,374,374,375,373,371,365,364,362,364
145,375,374,373,371,366,364,366,365,367
146,376,376,373,370,364,362,364,363,368
147,378,378,379,377,374,369,368,366,369
148,379,378,378,375,371,369,370,369,371
149,381,380,379,376,371,370,371,370,373
150,385,385,387,386,388,384,382,379,378
151,386,384,383,380,377,377,379,378,379
152,386,385,383,380,375,374,375,374,377
153,386,385,385,382,379,374,374,372,376
154,385,385,384,381,376,374,375,374,376
155,383,383,380,377,370,369,370,370,374
156,384,384,385,383,381,376,375,373,375
157,384,383,381,378,373,371,372,372,375
158,383,382,380,376,369,368,369,368,373
159,384,384,386,384,383,377,375,373,374
160,384,384,383,381,377,376,377,376,377
161,384,383,380,377,370,369,371,371,375
162,385,385,386,383,382,376,375,373,375
163,385,384,384,381,377,376,377,375,377
164,385,385,383,380,375,374,375,375,377
165,389,389,392,391,393,387,385,382,381
166,389,387,386,384,381,380,381,380,381
167,386,384,380,375,365,364,367,368,375
168,387,388,389,387,385,378,376,374,376
169,386,385,385,383,380,377,377,376,377
170,384,383,380,376,368,367,369,370,375
171,385,385,386,384,381,375,374,372,374
172,384,383,383,380,376,374,375,373,375
173,383,382,380,376,369,368,370,370,374
174,384,384,385,383,381,375,374,372,374
175,384,384,384,382,379,376,377,375,376
176,383,382,379,375,367,367,369,369,374
177,384,384,385,383,381,375,373,371,374
178,384,384,384,383,381,378,378,376,376
179,384,383,380,377,370,370,372,372,375
180,384,384,385,383,380,375,374,372,375
181,385,385,386,384,383,379,379,377,378
182,385,384,381,378,371,371,373,373,376
183,386,386,386,384,382,377,376,374,376
184,385,385,385,383,380,377,378,376,377
185,385,384,382,379,373,372,374,374,377
186,386,385,385,383,380,375,375,373,376
187,386,386,387,385,383,379,379,377,378
188,385,384,381,378,371,371,373,372,376
189,386,386,386,384,381,376,375,373,376
190,386,386,386,384,383,379,379,377,378
191,385,384,381,378,371,371,373,373,376
192,386,386,386,383,381,376,375,373,376
193,386,386,387,385,383,380,379,377,378
194,385,384,381,378,371,371,373,373,376
195,385,385,385,383,380,375,374,373,375
196,386,386,387,385,384,380,379,377,378
197,385,384,381,378,372,372,374,374,377
198,386,386,386,383,380,376,375,373,376
