mq2,mq3,mq4,mq5,mq6,mq7,mq8,mq9,mq135,result
386,385,383,379,373,373,375,375,378,1
386,386,385,382,378,374,374,373,376,1
387,387,389,387,387,382,381,378,379,1
386,385,383,379,373,374,376,375,378,1
386,385,384,382,377,374,374,373,376,1
387,387,389,387,386,382,381,378,379,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,374,373,376,1
387,387,388,387,386,382,380,378,378,1
386,385,383,380,374,374,376,375,378,1
385,385,384,381,376,373,374,373,376,1
387,387,388,387,386,382,380,378,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,376,373,373,372,376,1
387,387,388,387,386,382,380,377,378,1
386,385,383,380,374,374,376,375,378,1
386,385,384,381,375,372,373,372,376,1
386,387,388,387,386,381,380,377,378,1
386,385,383,380,375,375,377,376,378,1
385,385,383,380,375,372,373,372,376,1
386,386,388,386,386,381,380,377,378,1
386,385,383,380,375,374,376,375,378,1
385,385,383,380,374,372,373,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,383,380,375,375,376,375,378,1
385,385,383,380,374,372,373,372,376,1
387,387,388,386,386,381,380,377,378,1
386,385,383,381,376,375,377,376,378,1
385,385,383,380,374,372,373,372,376,1
387,387,388,386,386,381,379,377,378,1
386,385,383,381,376,375,377,376,378,1
386,385,383,380,374,372,373,372,376,1
387,387,388,386,386,380,379,376,378,1
386,385,384,381,376,375,377,376,378,1
385,385,383,379,373,371,372,372,376,1
386,386,388,386,385,380,379,376,377,1
386,385,384,381,376,376,377,376,378,1
385,385,383,379,373,372,373,373,376,1
387,387,388,386,385,380,379,376,378,1
387,386,384,382,377,377,378,377,379,1
386,385,383,380,374,372,373,373,377,1
387,387,389,387,386,381,380,377,378,1
386,385,384,382,377,377,378,377,379,1
386,385,383,379,373,372,373,373,377,1
387,387,388,386,385,380,379,376,378,1
386,385,384,382,378,377,378,377,379,1
386,385,383,379,373,372,373,373,377,1
387,387,388,386,385,380,379,376,378,1
386,385,384,382,378,377,378,377,379,1
385,384,382,379,373,371,372,372,376,1
386,386,388,386,385,380,378,376,377,1
386,385,384,382,378,377,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,379,378,375,377,1
386,385,384,382,378,377,378,376,378,1
385,384,382,378,372,371,372,372,376,1
386,386,388,386,385,379,378,376,377,1
386,385,384,382,378,377,378,377,378,1
385,384,382,378,371,370,372,372,376,1
386,387,388,386,385,379,378,375,377,1
386,385,385,383,379,377,378,377,378,1
385,384,382,378,372,371,372,372,376,1
386,387,388,386,385,379,378,375,377,1
386,385,385,383,379,378,379,377,379,1
386,385,382,378,371,371,372,372,376,1
387,387,388,386,385,379,378,376,377,1
387,386,385,383,380,378,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,385,379,378,375,377,1
386,386,386,383,380,378,379,377,379,1
385,384,382,378,371,371,373,372,376,1
387,387,388,386,385,379,378,375,377,1
386,386,386,384,381,379,379,377,379,1
386,384,382,378,372,371,373,373,377,1
387,387,388,386,384,379,378,375,377,1
386,386,386,384,381,379,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,379,377,375,377,1
387,386,386,384,382,379,379,377,379,1
386,385,382,379,372,371,373,373,377,1
387,387,388,386,384,378,377,375,377,1
386,386,386,384,382,379,380,378,379,1
386,385,382,379,372,371,373,373,377,1
386,387,387,385,384,378,377,375,377,1
386,386,386,384,382,380,380,378,379,1
386,385,382,379,372,371,373,373,377,1
387,387,387,385,383,378,377,374,377,1
386,386,387,385,383,380,380,378,379,1
385,384,382,378,372,372,374,373,377,1
386,386,387,385,383,378,377,375,377,1
387,386,386,384,382,379,380,377,378,1
386,385,382,379,372,372,373,373,377,1
386,386,387,385,383,378,377,374,377,1
386,386,386,385,383,380,380,378,379,1
386,385,382,379,372,372,374,373,377,1
386,386,387,385,383,377,376,374,376,1
386,386,387,385,383,380,380,378,378,1
385,384,382,379,372,372,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,383,380,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,387,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,379,1
386,385,382,379,373,372,374,374,377,1
386,386,386,384,382,377,376,374,377,1
387,386,387,385,384,380,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,386,384,382,377,376,374,377,1
387,387,388,386,384,381,381,378,379,1
386,385,382,379,373,373,375,374,378,1
386,386,386,384,381,376,376,374,377,1
387,387,388,386,385,381,380,378,379,1
386,385,382,379,373,373,374,374,377,1
386,386,386,384,381,376,376,374,376,1
387,387,388,386,385,381,381,378,379,1
386,384,382,379,373,373,375,374,377,1
386,386,386,384,381,376,376,374,377,1
387,387,388,387,386,382,382,379,379,1
386,385,383,380,374,374,376,376,378,1
388,388,388,386,384,379,379,377,378,1
389,389,391,390,390,387,386,383,382,1
389,387,385,382,376,377,379,379,381,1
389,388,388,385,381,377,376,375,379,1
389,388,389,387,385,381,380,378,379,1
386,385,383,379,373,372,374,374,377,1
385,385,384,381,377,373,372,371,375,1
385,385,386,384,382,377,377,374,376,1
383,382,379,376,368,368,370,370,374,1
383,384,383,380,376,372,371,370,373,1
384,384,385,383,382,378,377,375,376,1
383,382,380,377,370,370,372,372,375,1
385,385,385,383,381,377,376,374,376,1
386,386,388,387,387,383,382,379,379,1
386,385,383,380,375,375,377,377,379,1
387,386,385,383,379,375,375,374,377,1
388,387,388,387,386,381,380,378,379,1
386,385,383,380,374,374,375,375,378,1
386,386,385,382,378,375,375,373,376,1
387,387,389,387,387,382,381,378,379,1
386,385,383,380,374,374,376,376,378,1
387,386,386,383,379,376,376,374,377,1
